<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
SBER;60;230203;170000;160.5300000;160.9800000;160.2000000;160.8000000;4574600
SBER;60;230203;180000;160.7700000;160.9600000;160.4200000;160.9600000;2395290
SBER;60;230203;190000;161.4800000;162.3200000;161.1200000;161.4800000;5841850
SBER;60;230203;200000;161.4500000;161.4500000;161.0000000;161.0100000;2464860
SBER;60;230203;210000;161.0100000;161.4100000;160.6500000;161.0400000;1731330
SBER;60;230203;220000;161.0300000;161.4300000;160.8600000;161.2700000;1811860
SBER;60;230203;230000;161.2700000;161.3700000;160.9700000;161.2600000;1973750
SBER;60;230206;100000;161.7100000;163.3000000;161.0100000;163.1800000;15800500
SBER;60;230206;110000;163.2200000;163.7900000;162.6300000;163.7900000;6822890
SBER;60;230206;120000;163.7500000;165.0000000;163.3400000;163.8800000;13632460
SBER;60;230206;130000;163.9300000;164.3900000;163.6800000;164.1400000;5091230
SBER;60;230206;140000;164.1400000;164.3600000;163.8000000;164.0100000;3128320
SBER;60;230206;150000;164.0200000;165.6500000;164.0200000;165.2900000;10735910
SBER;60;230206;160000;165.2900000;166.5900000;165.1100000;165.8500000;13013900
SBER;60;230206;170000;165.8500000;166.4000000;165.7300000;166.1600000;5046450
SBER;60;230206;180000;166.1600000;166.9000000;166.1400000;166.2700000;6227720
SBER;60;230206;190000;166.4400000;166.4500000;165.8800000;166.1600000;2304940
SBER;60;230206;200000;166.1600000;166.5300000;166.1000000;166.5200000;1547140
SBER;60;230206;210000;166.5100000;166.8700000;166.4900000;166.7700000;1792850
SBER;60;230206;220000;166.7600000;167.1700000;166.7300000;166.9700000;2002010
SBER;60;230206;230000;166.9900000;167.1600000;166.8400000;167.0900000;1738730
SBER;60;230207;100000;167.3000000;168.7000000;164.6200000;165.0600000;40400840
SBER;60;230207;110000;165.0700000;166.6800000;165.0100000;166.1100000;8901590
SBER;60;230207;120000;166.1100000;166.3000000;165.0800000;165.3000000;4909730
SBER;60;230207;130000;165.3000000;165.4500000;163.8200000;165.0500000;13102920
SBER;60;230207;140000;165.0700000;165.5900000;164.5300000;165.1300000;3813020
SBER;60;230207;150000;165.1100000;165.5000000;164.5000000;165.5000000;3669420
SBER;60;230207;160000;165.4900000;165.9700000;165.1600000;165.5400000;3101570
SBER;60;230207;170000;165.5500000;165.7700000;164.9200000;165.3000000;2898790
SBER;60;230207;180000;165.3100000;165.6200000;165.0000000;165.0200000;2455180
SBER;60;230207;190000;165.0500000;165.2900000;163.4000000;164.6900000;5581850
SBER;60;230207;200000;164.7000000;164.7400000;164.3600000;164.6900000;1172120
SBER;60;230207;210000;164.7000000;164.7900000;164.5200000;164.7100000;645300
SBER;60;230207;220000;164.7000000;165.2000000;164.6000000;165.1600000;884620
SBER;60;230207;230000;165.1800000;165.4000000;165.1100000;165.3900000;1024740
SBER;60;230208;100000;165.1000000;166.2000000;164.7200000;165.4100000;9195310
SBER;60;230208;110000;165.4200000;166.3500000;165.0000000;165.8200000;5558080
SBER;60;230208;120000;165.8200000;166.1100000;165.5800000;165.8000000;2098170
SBER;60;230208;130000;165.8200000;165.8200000;164.1000000;164.2000000;7333290
SBER;60;230208;140000;164.1800000;164.7100000;162.7000000;164.2400000;17877790
SBER;60;230208;150000;164.2400000;164.6800000;163.3800000;164.4800000;6578170
SBER;60;230208;160000;164.4800000;164.6000000;163.9100000;164.0000000;2342480
SBER;60;230208;170000;163.9900000;164.3700000;163.8300000;163.9700000;2181150
SBER;60;230208;180000;163.9500000;164.2300000;163.8900000;164.2200000;1261010
SBER;60;230208;190000;164.2200000;164.4000000;163.7500000;164.0100000;1420940
SBER;60;230208;200000;164.0000000;164.1900000;163.7000000;164.1200000;1070500
SBER;60;230208;210000;164.1200000;164.2300000;164.0300000;164.2200000;645900
SBER;60;230208;220000;164.2200000;164.3000000;164.1000000;164.1500000;450350
SBER;60;230208;230000;164.1100000;164.2400000;164.0500000;164.1500000;552730
SBER;60;230209;100000;164.3500000;164.6400000;162.9000000;163.1300000;11888260
SBER;60;230209;110000;163.1400000;163.3400000;161.2700000;162.1600000;17357560
SBER;60;230209;120000;162.1500000;162.5000000;161.5000000;162.3100000;5946180
SBER;60;230209;130000;162.3100000;162.3900000;161.6000000;162.2000000;4601750
SBER;60;230209;140000;162.2100000;163.8000000;162.0600000;163.5800000;9050790
SBER;60;230209;150000;163.5600000;163.7100000;163.0000000;163.6700000;4780060
SBER;60;230209;160000;163.6700000;167.4700000;163.4600000;165.8000000;37036350
SBER;60;230209;170000;165.8100000;166.4500000;165.0700000;165.2300000;6590710
SBER;60;230209;180000;165.2300000;166.3000000;165.0300000;165.0300000;4727360
SBER;60;230209;190000;165.1000000;165.4400000;164.9000000;165.3500000;1706640
SBER;60;230209;200000;165.3600000;165.5500000;165.3000000;165.3100000;646770
SBER;60;230209;210000;165.3100000;165.5600000;165.2000000;165.5400000;586280
