<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
SBER;D;230605;000000;243.5100000;244.1500000;235.1000000;237.1200000;78650640
SBER;D;230606;000000;236.0000000;242.1000000;232.5400000;240.9100000;100337100
SBER;D;230607;000000;241.2300000;244.3900000;238.5600000;241.2500000;63082450
SBER;D;230608;000000;241.3000000;242.7800000;239.5500000;241.7700000;29851820
SBER;D;230609;000000;242.7900000;243.0000000;240.1100000;240.4000000;27458600
SBER;D;230613;000000;241.5100000;244.5000000;240.6300000;244.3300000;40478120
SBER;D;230614;000000;245.7000000;247.6800000;242.8000000;244.6000000;51810860
SBER;D;230615;000000;245.1200000;245.9400000;243.2200000;245.1800000;40015310
SBER;D;230616;000000;245.5000000;245.9000000;243.7000000;243.8700000;23311220
SBER;D;230619;000000;244.4600000;244.6900000;241.3200000;242.2800000;29777860
SBER;D;230620;000000;241.9500000;242.2200000;238.8200000;241.7400000;36578050
SBER;D;230621;000000;241.9000000;243.9200000;240.6000000;242.2000000;26644780
SBER;D;230622;000000;242.1000000;242.8000000;240.1300000;240.6600000;23093570
SBER;D;230623;000000;239.9600000;240.9900000;234.3400000;235.6700000;61661860
SBER;D;230626;000000;239.6000000;240.5000000;233.4000000;238.4000000;81032100
SBER;D;230627;000000;239.0200000;242.3400000;236.8000000;241.2100000;51321260
SBER;D;230628;000000;241.8000000;241.8000000;238.6000000;239.6700000;28217550
SBER;D;230629;000000;239.7500000;241.2600000;239.0200000;239.9900000;28077670
SBER;D;230630;000000;240.0000000;240.6800000;238.3600000;239.6100000;24011230
SBER;D;230703;000000;240.0000000;244.5600000;239.1500000;243.3300000;47207170
SBER;D;230704;000000;243.4500000;243.7800000;240.6100000;240.7000000;41487820
SBER;D;230705;000000;241.4800000;241.9000000;240.2400000;240.9500000;19841190
SBER;D;230706;000000;241.4500000;242.4700000;240.7100000;240.9600000;23175870
SBER;D;230707;000000;241.2000000;243.7500000;240.7000000;243.6700000;30201090
SBER;D;230710;000000;244.2200000;249.4500000;244.2000000;249.4000000;64946220
SBER;D;230711;000000;250.0200000;250.2000000;246.5100000;247.9900000;49073930
SBER;D;230712;000000;248.3900000;249.2000000;246.1000000;247.5200000;39166310
